study_id,first_author,year,ta_decision,ft_decision,extraction_status,pdf_url,ai_system,ai_version,regulator_certified,camera_type,tp,fn,tn,fp,sensitivity,specificity,auc,prevalence,n_total_arm,evidence_snippet,evidence_page,evidence_source
doi_10.2337_dci21-0007,Lee A,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.2337_dci21-0007.pdf,Algorithm G,nan,other,Topcon TRC-NW8,,,,,0.8047,0.8128,,,735.0,"algorithm G was the only one that did not perform significantly worse in terms of both sensitivity (80.47% [79.00%, 81.93%], P = 0.441) and specificity (81.28% [79.84%, 82.72%], P = 0.195) compared with the VA teleretinal graders.",4.0,text
Lee_2021,Lee AY,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Lee_2021.pdf,Algorithm A (masked; one of OphtAI/AirDoc/Eyenuk/Retina-AI Health/Retmarker),nan,unknown,Topcon TRC-NW8,,,,,,,,,34901.0,"ttle VA population was predomi- tients, algorithm A would miss 25.58% of advancedretinopathycases, anerror indiseaseprevalence:14.79%oftheAt- nantlyWhite(70.56%),nearly50%ofthe that can potentially result in severe vi- lantapopulationhadDRcomparedwith Atlanta patients were African American. sion loss. Because most of t",6.0,ai_name
Lee_2021,Lee AY,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Lee_2021.pdf,Algorithm B (masked),nan,unknown,Topcon TRC-NW8,,,,,,,,,34901.0,nan,,not_found
Lee_2021,Lee AY,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Lee_2021.pdf,Algorithm C (masked),nan,unknown,Topcon TRC-NW8,,,,,,,,,34901.0,"rstudyresultsand appropriately selected algorithm could patients were routinely dilated before previously reported findings (13,23–28). reduce the burden on human graders screening in Atlanta (2.47% ungradable) Ifstudiesuse training data thatare lim- byeliminatingimageswithout retinopa- but not in Seattle (16.23% ungra",6.0,ai_name
Lee_2021,Lee AY,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Lee_2021.pdf,Algorithm D (masked),nan,unknown,Topcon TRC-NW8,,,,,,,,,34901.0,nan,,not_found
Lee_2021,Lee AY,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Lee_2021.pdf,Algorithm E (masked),nan,unknown,Topcon TRC-NW8,,,,,0.9271,,,,34901.0,nan,,not_found
Lee_2021,Lee AY,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Lee_2021.pdf,Algorithm F (masked),nan,unknown,Topcon TRC-NW8,,,,,0.9271,,,,34901.0,"eoneormorestepsofmanualimaging learning algorithm for detection of diabetic conceived and designed the study. A.Y.L. devel- gradingandtodeterminetheircost-effectiveness. retinopathy in retinal fundus photographs. oped and validated the algorithms with C.S.L., HealthTechnolAssess2016;20:1–72 JAMA2016;316:2402–2410 Y.E.C",8.0,ai_name
Lee_2021,Lee AY,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Lee_2021.pdf,Algorithm G (masked),nan,unknown,Topcon TRC-NW8,,,,,0.8047,0.8128,,,34901.0,"rm Race significantlyworseintermsofbothsen- White 9,482(70.56) 4,678(45.48) 14,160(59.69) sitivity (80.47% [79.00%, 81.93%], P 5 AfricanAmerican 1,642(12.22) 5,085(49.44) 6,727(28.35) 0.441) and specificity (81.28% [79.84%, Asian 383(2.85",4.0,sens_spec
35881410,Li F,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/35881410.pdf,Baidu automated fundus screening algorithm,nan,none,"Mixed: Topcon TRC-NW400, Syseye RetiCam3100, Zeiss VISUCAM200 (all non-mydriatic)",307.0,17.0,1204.0,57.0,0.948,0.954,0.976,0.204,1585.0,"RDR 0.948(0.918–0.967) 0.954(0.915–0.965) 0.976(0.968–0.985) 307,17,57,1204",6.0,table
Li_2021b,Li Y-H,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Li_2021b.pdf,VeriSee,nan,none,"Canon CR-2 digital retinal camera (single-field, 45-degree)",52.0,5.0,345.0,66.0,0.91,0.84,0.87,0.122,468.0,"DR)were0.91(0.87–0.96),0.90(0.87–0.92),and0.90(0.87–0.93) RodolfoMastropasqua attheimagelevel; and0.91(0.81–0.97), 0.84(0.80–0.87), and0.87(0.83–0.91)atthepatientlevel. ThemonthlyRDRratedroppedfrom55.1%to43.0%afterimplementation.Themonth",1.0,sens_spec
36345378.0,Lim JI,2023,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/36345378.0.pdf,EyeArt,nan,FDA,"Canon CR-2 AF or CR-2 Plus AF digital fundus camera, two 45° nonmydriatic images (disc-centered and macula-centered)",200.0,7.0,700.0,92.0,0.964,0.884,,0.207,999.0,"Overall, sensitivity for detection of mtmDR was higher for the EyeArt system than for dilated ophthalmoscopy: 96.4% (95% CI, 93.1%-99.8%) EyeArt... Specificity... 88.4% (95% CI, 85.8%-91.1%) EyeArt",5.0,table|derived_2x2
doi_10.1097_IAE.0000000000004826,Lin C-C,2026,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1097_IAE.0000000000004826.pdf,VeriSee,nan,other,"Canon CR-2 nonmydriatic fundus camera (45-degree, single-field, with physical pupil dilation in a dark room)",1599.0,219.0,7045.0,1150.0,0.88,0.86,0.87,0.1816,10013.0,"Verisee achieved a sensitivity of 0.88, specificity of 0.86, accuracy of 0.86, PPV of 0.58, NPV of 0.97, and AUC of 0.87 in detecting RDR.",3.0,abstract
Mehra_2022,Mehra A,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Mehra_2022.pdf,IDx-DR,nan,FDA,Topcon TRC 400NW,38.0,0.0,827.0,100.0,1.0,0.892,,0.0394,965.0,"85.7%), with diabetes mellitus (DM) is approximately 29% overall, but 100% sensitivity (95% CI 90.8-100%), 89.2% speci- with even higher rates among non-Hispanic black patients ficity (95% CI 87.0-91.1%), 27.5% positive predictiv",1.0,sens_spec
Meredith_2023,Meredith S,2023,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Meredith_2023.pdf,RetCAD,v2.1.0,CE,not stated,83.0,4.0,8952.0,778.0,0.954,0.92,0.979,0.00886,9817.0,h requires the pendently of the NHS). screening programme to make a pathway change with sensitivity 95.4% and specificity 92.0%. The evidence base ORCID examining deep-l earning AI systems as a safe resource in Sarah Meredith https://orcid.org/,8.0,sens_spec
33719599.0,Mokhashi N,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/33719599.0.pdf,EyeArt (Eyenuk),nan,other,"Canon CR-2 AF Non-Mydriatic Digital Retinal camera (24 Megapixel), 2-field",9.0,0.0,133.0,38.0,1.0,0.7778,,0.05,180.0,"On patient level comparison, sensitivity for the AI software was 100%, while specificity was 77.78% (Table 4). Positive predictive value (PPV) was 19.15%, and negative predictive (NPV) value was 100%.",1005.0,text
41399713,Moya-Sánchez EU,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41399713.pdf,EyeArt,nan,FDA,Topcon TRC-NW400 non-mydriatic,53.0,1.0,562.0,181.0,0.98,0.76,,0.0678,797.0,"Eyeart 562 181 1 53 23 98 76 100 ... In comparison, the EyeArt system's performance is 86; (98, 76, 23, 100, 77).",9.0,table
41399713,Moya-Sánchez EU,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41399713.pdf,RAIS-DR,nan,none,Topcon TRC-NW400 non-mydriatic,49.0,5.0,715.0,28.0,0.91,0.96,0.97,0.0678,797.0,Proposed 715 28 5 49 64 91 96 99 ... The dataset included 797 patients (743 classified as Non-Referable Diabetic Retinopathy (NRDR) and 54 as Referable Diabetic Retinopathy (RDR)).,9.0,table
Musetti_2025,Musetti D,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Musetti_2025.pdf,EyeArt,v2.0,both,Topcon DRI 3D OCT-2000 (combined color fundus and SD-OCT),33.0,0.0,113.0,42.0,1.0,0.729,,0.189,188.0,"sof thescenarioanalyzed,therewerenostatisticallysignificant sensitivity and specificity ranged from 100%/72.9%, respect- differencesinthealgorithmsperformance.Figure2showed ively,fortheEyeArtdeviceinthebestscenario(sensitivity/s",4.0,sens_spec
Musetti_2025,Musetti D,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Musetti_2025.pdf,IDx-DR,nan,both,Topcon DRI 3D OCT-2000 (combined color fundus and SD-OCT),33.0,2.0,99.0,51.0,0.943,0.66,,0.189,185.0,"accessibility of services, particularly in ophthalmologyconditions,suchasDR.32,33 Table2. Sensitivityandspecificity(95%CI). EyeArt IDx p-value Scenario1 Sensitivity(95%IC) 100(89.4to100) 94.3(80.4to99.3) 0.25 Specificity(95%IC) 72.9(65.2to79.7) 66.0(57.8to73.5) 0.44 Scenario2 Sensitivity(95%IC) 86.8(71.9to95.6) 86.8(",4.0,3of4_dropfp
34435963.0,Noriega A,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/34435963.0.pdf,ARIA (Prosperia),nan,none,45° macula-centered fundus camera (not specified),,,,,0.952,0.9,0.983,0.5,100.0,"the ARIA system also displayed high accuracy classifying images from patients from the Mexican ophthalmic hospital, where it had an AUROC of 98.3%, a sensitivity of 95.2%, and specificity of 90%",7.0,text
34435963.0,Noriega A,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/34435963.0.pdf,ARIA (Prosperia) - international dataset,nan,none,"mixed (EyePACS, primary care clinics California)",,,,,0.951,0.915,0.98,0.079,8790.0,"The ARIA system was able to classify referable vs nonreferable cases with an area under the receiver operating characteristic curve of 98%, a sensitivity of 95.1%, and a specificity of 91.5% for international patient cases.",1.0,abstract
Rio et al. (2022),Nunez do Rio JM,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Rio et al. (2022).pdf,Zeiss VISUHEALTH-AI DR,1.8,CE,Zeiss Visuscout 100 handheld non-mydriatic fundus camera,,,,,0.6269,,,0.0377,20489.0,"Precision values reached 29.6 (95% CI 27.40, 31.88)... with recall values of 62.69 (59.17, 66.12)... for referable, non-referable, and ungradable categories, respectively.",4.0,text
32376611.0,Olvera-Barrios A,2020,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/32376611.0.pdf,EyeArt,v2.1.0,CE,"EIDON wide-field true-colour confocal scanner (CenterVue, Padua, Italy); 60-degree per exposition, 2-field mydriatic protocol",97.0,14.0,802.0,344.0,0.874,0.7,,0.0883,1257.0,"U, R1M1, R2, R3  111  8.83  14 12.61 97 87.39 ... R0M0, R1M0 1146 91.17 802 69.98 344 30.02 ... U, R1M1, R2, R3 0.87 (0.77-0.93)",28.0,table
32376611.0,Olvera-Barrios A,2020,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/32376611.0.pdf,EyeArt,v2.1.0,CE,"English NDESP-approved standard fundus cameras (45-degree, 2-field macula- and disc-centred mydriatic protocol)",101.0,10.0,961.0,184.0,0.91,0.838,,0.0883,1257.0,"U, R1M1, R2, R3 111 8.83 ... 10 9.01 101 90.99 ... R0M0, R1M0 1146 91.17 ... 961 83.86 184 16.06 ... U, R1M1, R2, R3 0.90 (0.81-0.96)",28.0,table
41248228,Parravano M,2026,maybe,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41248228.pdf,RetCAD,nan,CE,DRSplus (Centervue) nonmydriatic confocal fundus camera,147.0,4.0,209.0,51.0,0.973,0.804,0.979,0.3674,411.0,"At the eye-level, the AI system sensitivity for detecting referable DR was 97.3%, 95% CI: [94.74%–99.86%], the specificity was 80.4%, 95% CI: [75.57%–85.23%], and the accuracy was 86.6%",657.0,text
35080640.0,Paul S,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/35080640.0.pdf,IDx-DR,nan,FDA,"Topcon NW400 (n=456) and Zeiss VISUCAM 500 (n=47), non-mydriatic",,,,,0.957,0.891,,,302.0,"Die Sensitivität (Spezifität) für das Erkennen einer schweren, behandlungsbedürftigen Retinopathie lag bei 95,7% (89,1%) für Fälle mit auswertbaren Fundusaufnahmen",706.0,abstract
41814043.0,Pazo EE,2026,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41814043.0.pdf,EfficientNet-B4 (desktop-trained deep learning model),nan,none,"Eyerobo FC iFLASH-I PRO (portable nonmydriatic, 45° FOV, 2048x1536)",48.0,4.0,49.0,3.0,0.923,0.942,0.977,0.5,104.0,"Of the 52 eyes with referable DR, the AI model correctly identified 48 (true positives) and missed 4 (false negatives), yielding a sensitivity of 92.3%. Of the 52 nonreferable eyes, 49 were correctly classified (true negatives) and 3 were i",1446.0,text
41814043.0,Pazo EE,2026,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41814043.0.pdf,EfficientNet-B4 (desktop-trained deep learning model),nan,none,"Topcon TRC NW6 (desktop mydriatic, Messidor-2 dataset)",810.0,64.0,824.0,50.0,0.927,0.943,0.952,0.5,1748.0,"the Messidor-2 desktop camera cohort (tier 2 benchmark) demonstrated a sensitivity of 92.7% (95% CI 91.2–94.2%), a specificity of 94.3% (95% CI 93.1–95.5%), and an AUC of 0.952 (95% CI 0.943–0.961).",1446.0,text|derived_2x2
Piatti_2023,Piatti A,2023,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Piatti_2023.pdf,DAIRET (Retmarker Screening),nan,CE,DRSplus Centervue (iCare Finland),35.0,0.0,430.0,172.0,1.0,0.71,,0.055,637.0,"l (%) Age (years) ± SD Range (years) Duration study population of DM (years) ± SD All patients 637 (100) 65 ± 12.7 18–92 13 ± 9.5 Men 383 (60) 64 ± 12.7 18–89 13 ± 9.5 Women 254 (40) 66 ± 12.8 32–94 13 ± 9.5 DM1 61 (10) 48 ± 12.8 18–80 22 ± 9.5 DM2 555 (87) 67 ± 12.7 34–92 12 ± 9.5 Other types of DM 21 (3) 50 ± 12,7 32",4.0,sens_spec
Piatti_2024,Piatti A,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Piatti_2024.pdf,RetCAD,v2.0.2,CE,"iCare DRSplus (Centervue) TrueColor Confocal fundus camera, 45°, two-field (macula + optic disc)",76.0,1.0,377.0,37.0,0.987,0.9106,,0.1568,491.0,"ferable(0,1) Referable(2,3,4) Total Groundtruth(humanexpert) Non-referable(0,1) 377 37 414 Referable 1 76 77 (2,3,4) Total 378 118 491 Metrics % 95%CI Sensitivity 98.70 2.53 Specificity 91.06 2.75 Accuracy 92.26 2.36 22(4%)",5.0,all4_2x2
Poschkamp_2025,Poschkamp B,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Poschkamp_2025.pdf,IDx-DR,nan,FDA,Topcon TRC-NW400 (97.7%) and Zeiss Visucam 500 (2.3%),165.0,18.0,798.0,164.0,0.9016,0.8295,,0.16,1145.0,nan,,not_found
Poschkamp_2025,Poschkamp B,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Poschkamp_2025.pdf,RetCAD,v2.2.0,CE,Topcon TRC-NW400 (97.7%) and Zeiss Visucam 500 (2.3%),190.0,80.0,1265.0,83.0,0.7041,0.9386,,0.167,1618.0,"ke IDx- DR (classification) and Thirona RetCAD (regression) have shown Germany high sensitivity in controlled settings, real- world screening faces challenges due 3Leibniz Institute for Plasma Science and Technology, Greifswald, Germany to missing or low- quality images and inadequate adaptation to local healthcare 4In",1.0,ai_name
36003071,Rao DP,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/36003071.pdf,Medios AI,nan,none,"Topcon TRC-50DX desktop fundus camera (mydriatic, 45-degree, 3-field)",119.0,2.0,41.0,8.0,0.983,0.837,,0.7118,170.0,"The sensitivity was 98.3% (95% CI 96%, 100%) and the specificity 83.7% (95% CI 73%, 94%) for RDR against image grading.",1.0,abstract
39078960,Rao DP,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/39078960.pdf,Medios AI-DR,nan,none,"Fundus-on-Phone (FOP NM-10, Remidio Innovative Solutions), smartphone-based fundus camera, 40° field of view, non-mydriatic",142.0,7.0,276.0,53.0,0.953,0.8389,,0.3117,478.0,AI RDR positive 142 (29.7%) 53 (11.1%); AI RDR negative 7 (1.5%) 276 (57.7%). The sensitivity for RDR was 95.30% (95% CI: 91.9%-98.7%) and specificity was 83.89% (95% CI: 79.9%-87.90%).,1164.0,table
Riotto et al. (2024),Riotto E,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Riotto et al. (2024).pdf,IDx-DR,2.3,FDA,full-size fundus camera,127.0,0.0,795.0,219.0,1.0,0.784,,0.1113,1141.0,"The sensitivity and specificity of the IDx-DR machine in detecting 'no DR' were calculated to be, respectively, 100% and 78.4%. A total of 219 patients with no signs of DR were wrongly classified... no false negatives resulted.",5.0,text
32382145,Rogers T,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/32382145.pdf,Pegasus (Visulytix),nan,none,Volk Pictor Plus handheld non-mydriatic 40-degree fundus camera,534.0,121.0,4164.0,933.0,0.816,0.817,0.894,0.1138,5752.0,"On images from the handheld camera, Pegasus achieved an AUROC of 89.4% (95% CI: 88.0–90.7) when detecting RDR, corresponding to a sensitivity of 81.6% (95% CI: 79.0–84.2) and at a specificity of 81.7% (95% CI: 80.9–82.6)",634.0,text|derived_2x2
32382145,Rogers T,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/32382145.pdf,Pegasus (Visulytix),nan,none,Kowa VX-10 alpha desktop mydriatic 50-degree fundus camera (IDRiD benchmark),311.0,22.0,172.0,11.0,0.934,0.942,0.985,0.646,516.0,"When assessed on the desktop camera benchmark dataset, Pegasus obtained an AUROC of 98.5% (95% CI: 97.8–99.2) for RDR, with corresponding sensitivity and specificity of 93.4% (95% CI: 90.8–95.8) and 94.2% (95% CI: 91.0–97.2)",634.0,text|derived_2x2
Ruamviboonsuk_2019,Ruamviboonsuk P,2019,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Ruamviboonsuk_2019.pdf,Google DL algorithm (Gulshan/Krause),nan,none,multiple fundus cameras across regional screening sites,,,,,0.968,0.956,0.987,,25326.0,"000).TheDLalgorithmhadasensitivity Furthermore, to compare the agreement for the entire range of of 0.968 (range: 0.893–0.993), specificity of 0.956 (range: DRseverities(no/mild,moderate,severe,andproliferative)andfor 0.983–",2.0,sens_spec
35272972.0,Ruamviboonsuk P,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/35272972.0.pdf,Google deep-learning system (ARDA),version 2 (CE-marked),CE,"Topcon Maestro 3D OCT-1, Topcon TRC-NW300, Nidek AFC-230, Nidek AFC-210, Nidek AFC-300",233.0,22.0,640.0,31.0,0.914,0.954,,0.275,926.0,"For vision-threatening diabetic retinopathy, the deep-learning system had an accuracy of 94·7% (95% CI 93·0–96·2), sensitivity of 91·4% (87·1–95·0), and specificity of 95·4% (94·1–96·7).",235.0,abstract|derived_2x2
Rudnicka_2025,Rudnicka A,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Rudnicka_2025.pdf,Artelus DRISTi,2.0,CE,Multiple approved NHS DESP fundus cameras (mydriatic 45-degree),,,,,0.872,0.56,,0.1215,201438.0,A—Artelus Ltd: DRISTi 2.0 ... Referable diabetic retinopathy (excluding ungradable) Overall 87·2 (86·8–87·6); No referable diabetic retinopathy Overall 44·0 (43·8–44·2),5.0,table
Rudnicka_2025,Rudnicka A,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Rudnicka_2025.pdf,Evolucare OphtAI,2.3,CE,Multiple approved NHS DESP fundus cameras (mydriatic 45-degree),,,,,0.898,0.745,,0.1215,201438.0,F—Evolucare Technologies SAS: OphtAI 2.3 ... Referable diabetic retinopathy (excluding ungradable) Overall 89·8 (89·4–90·1); No referable diabetic retinopathy Overall 25·5 (25·3–25·7),6.0,table
Rudnicka_2025,Rudnicka A,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Rudnicka_2025.pdf,EyeCheckup AI,nan,CE,Multiple approved NHS DESP fundus cameras (mydriatic 45-degree),,,,,0.958,0.399,,0.1215,201438.0,C—EyeCheckup: Eyecheckup AI ... Referable diabetic retinopathy (excluding ungradable) Overall 95·8 (95·5–96·0); No referable diabetic retinopathy Overall 60·1 (59·9–60·4),5.0,table
Rudnicka_2025,Rudnicka A,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Rudnicka_2025.pdf,EyeNuk EyeArt,v3.0.0,CE,Multiple approved NHS DESP fundus cameras (mydriatic 45-degree),,,,,0.982,0.602,,0.1215,201438.0,B—EyeNuk Inc: EyeArt v3.0.0 ... Referable diabetic retinopathy (excluding ungradable) Overall 98·2 (98·1–98·4); No referable diabetic retinopathy Overall 39·8 (39·6–40·1),5.0,table
Rudnicka_2025,Rudnicka A,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Rudnicka_2025.pdf,MONA.health MONA,nan,CE,Multiple approved NHS DESP fundus cameras (mydriatic 45-degree),,,,,0.842,0.865,,0.1215,201438.0,D—MONA.health: MONA ... Referable diabetic retinopathy (excluding ungradable) Overall 84·2 (83·7–84·7); No referable diabetic retinopathy Overall 13·5 (13·4–13·7),5.0,table
Rudnicka_2025,Rudnicka A,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Rudnicka_2025.pdf,NEC,nan,CE,Multiple approved NHS DESP fundus cameras (mydriatic 45-degree),,,,,0.987,0.305,,0.1215,201438.0,E—NEC Software Solutions: NEC ... Referable diabetic retinopathy (excluding ungradable) Overall 98·7 (98·5–98·8); No referable diabetic retinopathy Overall 69·5 (69·3–69·7),6.0,table
Rudnicka_2025,Rudnicka A,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Rudnicka_2025.pdf,Remidio,nan,CE,Multiple approved NHS DESP fundus cameras (mydriatic 45-degree),,,,,0.87,0.809,,0.1215,201438.0,G—Remido Innovative Solutions Pvt Ltd: Remidio ... Referable diabetic retinopathy (excluding ungradable) Overall 87·0 (86·6–87·4); No referable diabetic retinopathy Overall 19·1 (19·0–19·3),6.0,table
Rudnicka_2025,Rudnicka A,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Rudnicka_2025.pdf,Retmarker,nan,CE,Multiple approved NHS DESP fundus cameras (mydriatic 45-degree),,,,,0.837,0.754,,0.1215,201438.0,H—Retmarker SA: Retmarker ... Referable diabetic retinopathy (excluding ungradable) Overall 83·7 (83·2–84·1); No referable diabetic retinopathy Overall 24·6 (24·4–24·9),6.0,table
Sarao_2020,Sarao V,2020,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Sarao_2020.pdf,EyeArt (Eidon white LED confocal scanner images),v2.1,CE,Topcon TRC-NW8 conventional flash fundus camera and Eidon (Centervue) white LED confocal scanner,142.0,9.0,146.0,22.0,0.941,0.868,,0.472,319.0,ed90.8%sensitivitywith 75.3% specificity on images acquired with the conventional fundus camera and 94.1% sensitivity with 86.8% specificity on imagesobtainedfromthewhiteLEDconfocalscanner.ThedifferencebetweenAUCwas0.0737(p=0.0023). Conclusion T,1.0,sens_spec
Sarao_2020,Sarao V,2020,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Sarao_2020.pdf,EyeArt (Topcon TRC-NW8 images),v2.1,CE,Topcon TRC-NW8 conventional flash fundus camera and Eidon (Centervue) white LED confocal scanner,136.0,14.0,127.0,41.0,0.908,0.753,,0.472,318.0,recomputed. Results Aseriesof165 diabeticsubjects(330eyes)wereenrolled.Theautomatedalgorithmachieved90.8%sensitivitywith 75.3% specificity on images acquired with the conventional fundus camera and 94.1% sensitivity with 86.8% specificity on i,1.0,sens_spec
35132211.0,Sedova A,2022,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/35132211.0.pdf,IDx-DR,V2.2,FDA,Topcon TRC-NW400 non-mydriatic fundus camera (two 45° colour fundus images per eye),20.0,0.0,16.0,18.0,1.0,0.47,,0.37,54.0,the autonomous AI sensitivity/specificity against the 7F-mask grading was 100% (95% CI: 83–100)/47% (95% CI: 30-65),512.0,text
Sosale_2020b,Sosale B,2020,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Sosale_2020b.pdf,Medios AI,nan,none,Remidio non-mydriatic fundus-on-phone (FOP) smartphone-based camera,234.0,18.0,599.0,49.0,0.93,0.925,0.88,0.28,900.0,The sensitivity and specificity of the AI algorithm in detecting referable DR (RDR) was 93% (95% CI 91.3% to 94.7%) and 92.5% (95% CI 90.8% to 94.2%).,1.0,abstract|derived_2x2
doi_10.2337_db19-51-OR,Sosale B,2020,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.2337_db19-51-OR.pdf,Medios AI,nan,none,"Remidio NM FOP 10 smartphone-based fundus camera (mydriatic, 3-field)",,,,,0.9884,0.8673,0.92,,297.0,"Sensitivity and specificity of the AI in detecting referable DR was 98.84% (95% CI, 97.62-100%) and 86.73% (95% CI, 82.87-90.59%), respectively. The area under the curve was 0.92.",1.0,abstract
doi_10.2337_db19-51-OR,Sosale B,2020,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.2337_db19-51-OR.pdf,Medios AI,nan,none,"Remidio NM FOP 10 smartphone-based fundus camera (mydriatic, 3-field)",105.0,16.0,168.0,8.0,0.8678,0.9545,0.91,0.4074,297.0,"For any DR, the sensitivity and specificity of the AI algorithm was 86.78% (95% CI, 82.92-90.63%) and 95.45% (95% CI, 93.09-97.82%), respectively... The AUROC was 0.91.",3.0,text
doi_10.2337_db19-51-OR,Sosale B,2020,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.2337_db19-51-OR.pdf,Medios AI,nan,none,"Remidio NM FOP 10 smartphone-based fundus camera (mydriatic, 3-field)",,,,,1.0,,,,297.0,The sensitivity for vision-threatening DR (VTDR) was 100%.,1.0,abstract
Taylor_2024,Taylor J,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Taylor_2024.pdf,RetCAD,v1.3.1,unknown,Topcon Maestro OCT,68.0,11.0,65.0,6.0,0.861,0.916,0.971,0.527,150.0,"91.9 (83.4-96.2) NPV (%) 92.8 (84.1-96.9) 88.9 (79.6-94.3) 85.5 (75.9-91.7) Diagnostic accuracy (%) 92.0 (86.5-95.4) 90.0 (84.2-93.9) 88.7 (82.6-92.8) DR = Diabetic retinopathy; PPV = positive predictive value, NPV = negative pr",4.0,sens_spec
37372815,Teoh CS,2023,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/37372815.pdf,CSIRO ADLS,nan,none,"Visucam Pro NM (Carl Zeiss, Germany), 45-degree macula-centred",115.0,8.0,54.0,23.0,0.935,0.701,0.879,0.615,200.0,"The area under curve was 0.879 (95% CI: 0.829 to 0.929) with a sensitivity of 70.1%, specificity of 93.5%, positive predictive value of 87.1% and negative predictive value of 83.3%.",7.0,figure_caption|derived_2x2
