study_id,first_author,year,ta_decision,ft_decision,ft_reason,extraction_status,pdf_url,country,study_design,sample_size_total,income_tier,healthcare_setting,dilation,reference_standard,diagnostic_criteria,title
39430352,Van TN,2024,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/39430352.pdf,Vietnam,cross-sectional,583.0,lower-middle,primary-care,no,Two trained eye doctors graded per ICO guidelines; disagreements adjudicated by a DR expert at University of Medicine and Pharmacy at Ho Chi Minh City,other (ICO guidelines),"Effectiveness of artificial intelligence for diabetic retinopathy screening in community in Binh Dinh Province, Vietnam."
37847478,Vought R,2023,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/37847478.pdf,USA,retrospective,124.0,high,primary-care,no,Off-site US board-certified retina specialist (gold standard); compared against onsite grader and EyeArt,other (EyeArt more-than-mild DR / vision-threatening DR output),EyeArt artificial intelligence analysis of diabetic retinopathy in retinal screening events.
37541766,Whitestone N,2023,maybe,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/37541766.pdf,Rwanda,prospective,827.0,lower-middle,mixed,no,UK NHS Certified Senior Retinal Image Grader,ICDR,Feasibility and acceptance of artificial intelligence-based diabetic retinopathy screening in Rwanda.
Wintergerst et al. (2021),Wintergerst MWM,2022,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Wintergerst et al. (2021).pdf,Germany,cross-sectional,75.0,high,primary-care,no,Double grading by a trained grader and an ophthalmologist; a second ophthalmologist adjudicated discrepancies,ICDR,Telemedical Diabetic Retinopathy Screening in a Primary Care Setting: Quality of Retinal Photographs and Accuracy of Automated Image Analysis.
Yang et al. (2022),Yang Y,2022,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Yang et al. (2022).pdf,China,prospective,962.0,upper-middle,mixed,mixed,Zhongshan Image Reading Center (ZIRC); two independent certified graders with third senior grader adjudication for discrepancies,other (Chinese Ophthalmic Society guidelines; RDR = stage II or more severe DR),"Performance of the AIDRScreening system in detecting diabetic retinopathy in the fundus photographs of Chinese patients: a prospective, multicenter, clinical study."
Zhang et al. (2022),Zhang W,2022,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Zhang et al. (2022).pdf,China,prospective,1089.0,upper-middle,tertiary,no,"Three senior physicians per center graded independently; if disagreement, the principal investigator's opinion served as the final grade",ICDR,The Validation of Deep Learning-Based Grading Model for Diabetic Retinopathy.
32174153,van der Heijden A,2018,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/32174153.pdf,Netherlands,cross-sectional,898.0,high,primary-care,no,"Three retinal specialists graded independently, masked to IDx-DR and each other; consensus adjudication for disagreements",ICDR,Validation of Automated Screening for Referable Diabetic Retinopathy With an Autonomous Diagnostic Artificial Intelligence System in a Spanish Population.
van et al. (2018),van der Heijden A,2018,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/van et al. (2018).pdf,Netherlands,cross-sectional,898.0,high,primary-care,no,Three retinal specialists graded independently with consensus adjudication meeting for discordant cases,ICDR and EURODIAB,Validation of automated screening for referable diabetic retinopathy with the IDx-DR device in the Hoorn Diabetes Care System.
40125479.0,Šín M,2025,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/40125479.0.pdf,Czech Republic,cross-sectional,1154.0,high,primary-care,no,"Diabetic Retinopathy Board (3 retina specialists with 10+ years experience, majority vote) adjudicating cases with disagreement among GO, RS and Aireen",other (not specified),Comparison of the Aireen System with Telemedicine Evaluation by an Ophthalmologist - A Real-World Study.
doi_10.1038_s41433-020-01350-8,Bahl A,2022,maybe,exclude,no result,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1038_s41433-020-01350-8.pdf,India,cross-sectional,197.0,lower-middle,primary-care,no,not reported,other (not specified),Diabetic retinopathy screening in rural India with portable fundus camera and artificial intelligence using eye mitra opticians from Essilor India.
doi_10.2337_dc19-2133,Bhuiyan A,2020,maybe,exclude,letter,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.2337_dc19-2133.pdf,USA,prospective,974.0,high,primary-care,no,Two retina specialists (S.S. and M.G.) graded as gold standard,ICDR,Development and Validation of an Automated Diabetic Retinopathy Screening Tool for Primary Care Setting.
doi_10.1177_11795514231203867,Cason J,2023,include,exclude,not adult,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1177_11795514231203867.pdf,Bangladesh,cross-sectional,1274.0,lower-middle,referral,not-reported,fully qualified optometrist certified in DR grading,ICDR,CHILDSTAR: CHIldren Living With Diabetes See and Thrive with AI Review.
doi_10.1111_aos.14132,Grzybowski A,2019,maybe,exclude,letter,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1111_aos.14132.pdf,Poland,prospective,354.0,high,referral,no,"Single ophthalmologist review of images; threshold for DR defined as more than three microaneurysms or any intraretinal microvascular abnormalities, venous beading, intraretinal haemorrhage or cotton wool spots",other (custom: >3 microaneurysms or IRMA/venous beading/intraretinal haemorrhage/cotton wool spots),A pilot study of autonomous artificial intelligence-based diabetic retinopathy screening in Poland.
doi_10.1007_s11606-024-09319-z,Heuer R,2025,maybe,exclude,wrong topic,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1007_s11606-024-09319-z.pdf,USA,retrospective,320.0,high,primary-care,not-reported,Optometrist/ophthalmologist follow-up examination at eye care center (subset of screen-positives only),other (not specified),AI Diabetic Retinopathy Screening in a Primary Care Setting in Rural Maine
10.1016_j.diabres.2025.112806,Huhtinen,2025,maybe,exclude,wrong topic,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/10.1016_j.diabres.2025.112806.pdf,,,,,,,,,Performance and accuracy of ten AI-based algorithms in diabetic retinopathy screening in real-world clinical setting
Huhtinen_2025,Huhtinen P,2025,maybe,exclude,letter,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Huhtinen_2025.pdf,Finland,cross-sectional,156.0,high,tertiary,mydriatic,Two ophthalmologists grading independently (blinded to AI) per Finnish DR screening programme,"Finnish DR screening programme (no DR, mild/moderate/severe NPDR, PDR)",Performance and accuracy of 10 AI-based algorithms in diabetic retinopathy screening in a real-world clinical setting
doi_10.1177_0969141315571953,Kapetanakis,2015,maybe,exclude,Study protocol only — no results extractable,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1177_0969141315571953.pdf,,,,,,,,,A study of whether automated Diabetic Retinopathy Image Assessment could replace manual grading steps in the English National Screening Programme.
doi_10.1177_19322968231194041,Kuklinski E,2023,maybe,exclude,letter,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1177_19322968231194041.pdf,USA,retrospective,80.0,high,tertiary,no,In-person dilated fundus examination by a retina specialist (ICDR grading),ICDR,Screening of Diabetic Retinopathy Using Artificial Intelligence and Tele-Ophthalmology.
doi_10.1001_jamaophthalmol.2025.1194,Lum,2025,maybe,exclude,comment,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1001_jamaophthalmol.2025.1194.pdf,,,,,,,,,Artificial Intelligence-Based Detection of Diabetic Retinopathy.
doi_10.1007_s11030-023-10702-x,Muralitharan,2024,maybe,exclude,wrong topic,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1007_s11030-023-10702-x.pdf,,,,,,,,,Computational prediction of phytochemical inhibitors against the cap-binding domain of Rift Valley fever virus
10.1007_s13410-024-01393-7,Negiloni K,2024,maybe,exclude,letter,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/10.1007_s13410-024-01393-7.pdf,mixed,other,4925.0,mixed,mixed,not-reported,nan,other (moderate NPDR or worse and/or CSDME),Enhancing comprehensive diabetic care: A smartphone fundus camera with an offline AI-powered diabetic retinopathy screening solution for physicians
33153819.0,Peris-Martínez,2021,include,exclude,not english,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/33153819.0.pdf,,,,,,,,,Use in clinical practice of an automated screening method of diabetic retinopathy that can be derived using a diagnostic artificial intelligence system.
doi_10.3390_ph17111417,Remtulla,2024,maybe,exclude,wron gtopic,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.3390_ph17111417.pdf,,,,,,,,,In Silico Modeling of Myelin Oligodendrocyte Glycoprotein Disulfide Bond Reduction by Phosphine-Borane Complexes
doi_10.1055_a-1484-9678,Roser P,2021,maybe,exclude,not english,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1055_a-1484-9678.pdf,Germany,cross-sectional,112.0,high,referral,mixed,Ophthalmologist grading of same high-resolution fundus images,other (not specified),Evaluation of the implementation of an approved artificial intelligence system for the detection of diabetic retinopathy
10.1016_j.survophthal.2017.12.003,Sears,2018,maybe,exclude,reivew,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/10.1016_j.survophthal.2017.12.003.pdf,,,,,,,,,Deep learning algorithm
doi_10.1001_jamaophthalmol.2024.4493,Shah,2024,maybe,exclude,not english,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1001_jamaophthalmol.2024.4493.pdf,,,,,,,,,Use of Artificial Intelligence-Based Detection of Diabetic Retinopathy in the US.
doi_10.5301_ejo.5000612,Solanki,2015,include,exclude,abstract,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.5301_ejo.5000612.pdf,,,,,,,,,Automated high-throughput screening of diabetic retinopathy is safe and effective
39038979.0,Yun,2024,maybe,exclude,not ruslt,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/39038979.0.pdf,,,,,,,,,Dilation Before Automated Diabetic Retinopathy Screening Performed in the Primary Care Setting.
doi_10.3238_arztebl.m2024.0176,von der Emde,2025,maybe,exclude,wrong topic,excluded,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.3238_arztebl.m2024.0176.pdf,,,,,,,,,Tele-Ophthalmological Check-Up in Nursing Homes
