id,Study,Year,PDF link,PDF path,type,tp,fn,fp,tn,n_pos,n_neg,Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Source sheet
24,Elangovan (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Elangovan (2025).pdf,04_fulltext/pdfs/Elangovan (2025).pdf,OWL-ViT + ResNet50,1111,13,5,1745,1124,1750,image,fundus,other,mixed,internal,retrospective,no,confirmed,unspecified,n/r,0.391,OWL-ViT + ResNet50 hybrid,claude_pdf
24,Elangovan (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Elangovan (2025).pdf,04_fulltext/pdfs/Elangovan (2025).pdf,Swin Transformer + ResNet50 (multi-modal fusion),1111,9,8,1746,1120,1754,image,fundus,other,mixed,internal,retrospective,no,confirmed,unspecified,n/r,0.391,Swin Transformer + ResNet50 + Random Forest (clinical biomarkers) fusion,claude_pdf
25,Eswari (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Eswari (2024).pdf,04_fulltext/pdfs/Eswari (2024).pdf,FRCNN,393,32,72,968,425,1040,image,fundus,other,Europe,internal,retrospective,no,screening,unspecified,n/r,0.29,Faster R-CNN,claude_pdf
25,Eswari (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Eswari (2024).pdf,04_fulltext/pdfs/Eswari (2024).pdf,AFRCNN,397,28,61,979,425,1040,image,fundus,other,Europe,internal,retrospective,no,screening,unspecified,n/r,0.29,Adaptive gradient algorithm optimizer Faster R-CNN,claude_pdf
25,Eswari (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Eswari (2024).pdf,04_fulltext/pdfs/Eswari (2024).pdf,SVM,396,29,62,978,425,1040,image,fundus,other,Europe,internal,retrospective,no,screening,unspecified,n/r,0.29,Support Vector Machine (RBF kernel) within FRCNN,claude_pdf
25,Eswari (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Eswari (2024).pdf,04_fulltext/pdfs/Eswari (2024).pdf,AAASVM,399,26,55,985,425,1040,image,fundus,other,Europe,internal,retrospective,no,screening,unspecified,n/r,0.29,Artificial Algae Algorithm-optimized SVM within FRCNN (TernausNet segmentation),claude_pdf
26,Fan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Fan (2022).pdf,04_fulltext/pdfs/Fan (2022).pdf,"POAGNet (Siamese, DenseNet-201 backbone)",357,121,364,5925,478,6289,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,POAG,n/r,0.062,Siamese DenseNet-201 with side output + convolutional similarity,claude_pdf
26,Fan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Fan (2022).pdf,04_fulltext/pdfs/Fan (2022).pdf,DenseNet-201 (single image),349,129,382,5907,478,6289,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,POAG,n/r,0.062,DenseNet-201,claude_pdf
26,Fan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Fan (2022).pdf,04_fulltext/pdfs/Fan (2022).pdf,EfficientNetB0 (single image),242,236,504,5785,478,6289,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,POAG,n/r,0.062,EfficientNetB0,claude_pdf
26,Fan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Fan (2022).pdf,04_fulltext/pdfs/Fan (2022).pdf,MobileNetV2 (single image; Thakur et al replication),360,118,1624,4665,478,6289,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,POAG,n/r,0.062,MobileNetV2,claude_pdf
26,Fan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Fan (2022).pdf,04_fulltext/pdfs/Fan (2022).pdf,ResNet-50 (single image; Fan et al replication),326,152,758,5531,478,6289,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,POAG,n/r,0.062,ResNet-50,claude_pdf
26,Fan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Fan (2022).pdf,04_fulltext/pdfs/Fan (2022).pdf,POAGNet (absolute distance),327,151,478,5811,478,6289,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,POAG,n/r,0.062,Siamese DenseNet-201 with absolute distance,claude_pdf
26,Fan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Fan (2022).pdf,04_fulltext/pdfs/Fan (2022).pdf,POAGNet (w/o side output),373,105,532,5757,478,6289,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,POAG,n/r,0.062,Siamese DenseNet-201 without deep supervision,claude_pdf
27,Flores (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Flores (2025).pdf,04_fulltext/pdfs/Flores (2025).pdf,retinIA (Inception V3 + U-Net CDR),29,17,11,188,46,199,patient,fundus,expert ophthalmologist,North America,external,prospective,yes,screening,unspecified,59.1,0.188,Inception V3 multi-output classifier + U-Net optic disc/cup segmentation,claude_pdf
27,Flores (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Flores (2025).pdf,04_fulltext/pdfs/Flores (2025).pdf,First-year ophthalmology residents,23,23,19,180,46,199,patient,fundus,expert ophthalmologist,North America,external,prospective,yes,screening,unspecified,59.1,0.188,,claude_pdf
27,Flores (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Flores (2025).pdf,04_fulltext/pdfs/Flores (2025).pdf,Synergistic (AI OR resident),37,9,27,172,46,199,patient,fundus,expert ophthalmologist,North America,external,prospective,yes,screening,unspecified,59.1,0.188,Inception V3 + U-Net combined with resident assessment (OR rule),claude_pdf
28,Gaddipati (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Gaddipati (2022).pdf,04_fulltext/pdfs/Gaddipati (2022).pdf,Fefu model (Fundus + Fundus-to-OCT mapped features),154,16,49,349,170,398,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.299,VGG-19 dual-branch (Ff + Ff-o) with CGAN mapping and FCN fusion,claude_pdf
28,Gaddipati (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Gaddipati (2022).pdf,04_fulltext/pdfs/Gaddipati (2022).pdf,Ff-o only (Fundus-to-OCT mapped features),150,20,59,339,170,398,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.299,VGG-19 trained on CGAN-generated OCT-mapped feature soft labels,claude_pdf
28,Gaddipati (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Gaddipati (2022).pdf,04_fulltext/pdfs/Gaddipati (2022).pdf,Ff only (Fundus-specific features),146,24,82,316,170,398,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.299,VGG-19 fine-tuned on fundus images,claude_pdf
29,Govindharaj (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Govindharaj (2025).pdf,04_fulltext/pdfs/Govindharaj (2025).pdf,GWOA-UNet++ + CapsNet,32,2,6,90,34,96,image,fundus,expert ophthalmologist,Asia,internal,cross-sectional,no,confirmed,unspecified,n/r,0.258,U-Net++ (Grey Wolf Optimized) for segmentation + Capsule Network (CapsNet) for classification,claude_pdf
30,Gupta (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Gupta (2023).pdf,04_fulltext/pdfs/Gupta (2023).pdf,Hybrid PolyNet (ACRIMA),209,6,28,462,215,490,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.305,Hybrid PolyNet (CNN with inception + MISH activation),claude_pdf
30,Gupta (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Gupta (2023).pdf,04_fulltext/pdfs/Gupta (2023).pdf,Hybrid PolyNet (DRISHTI-GS1),22,9,21,49,31,70,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.305,Hybrid PolyNet (CNN with inception + MISH activation),claude_pdf
30,Gupta (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Gupta (2023).pdf,04_fulltext/pdfs/Gupta (2023).pdf,Hybrid PolyNet (REFUGE),285,81,213,621,366,834,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.305,Hybrid PolyNet (CNN with inception + MISH activation),claude_pdf
30,Gupta (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Gupta (2023).pdf,04_fulltext/pdfs/Gupta (2023).pdf,Hybrid PolyNet (ORIGA),186,12,44,408,198,452,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.305,Hybrid PolyNet (CNN with inception + MISH activation),claude_pdf
30,Gupta (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Gupta (2023).pdf,04_fulltext/pdfs/Gupta (2023).pdf,Hybrid PolyNet (RIM-ONE),29,11,27,64,40,91,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.305,Hybrid PolyNet (CNN with inception + MISH activation),claude_pdf
30,Gupta (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Gupta (2023).pdf,04_fulltext/pdfs/Gupta (2023).pdf,Hybrid PolyNet (Aravind real-time),40,6,14,90,46,104,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.305,Hybrid PolyNet (CNN with inception + MISH activation),claude_pdf
31,Hassan (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Hassan (2019).pdf,04_fulltext/pdfs/Hassan (2019).pdf,ResNet-152-M (Dataset-OD),157,8,0,55,165,55,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.75,"ResNet-152 (modified, CNN)",claude_pdf
32,Hemelings (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Hemelings (2019).pdf,04_fulltext/pdfs/Hemelings (2019).pdf,Two-stage faster RCNN + DCNN (10-fold CV),120,48,72,410,168,482,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.258,Faster RCNN (VGG16) for OD localization + custom 4-conv-layer DCNN classifier,claude_pdf
33,Hemelings (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Hemelings (2020).pdf,04_fulltext/pdfs/Hemelings (2020).pdf,"ResNet-50 + transfer + active learning (uncertainty sampling, 2072 images)",249,5,9,91,254,100,patient,fundus,structural+functional,Europe,internal,retrospective,no,referable,unspecified,n/r,0.718,ResNet-50 CNN with ImageNet transfer learning and uncertainty-sampling active learning,claude_pdf
33,Hemelings (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Hemelings (2020).pdf,04_fulltext/pdfs/Hemelings (2020).pdf,ResNet-50 + transfer + random sampling (2072 images),249,5,16,84,254,100,patient,fundus,structural+functional,Europe,internal,retrospective,no,referable,unspecified,n/r,0.718,ResNet-50 CNN with ImageNet transfer learning and random sampling,claude_pdf
33,Hemelings (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Hemelings (2020).pdf,04_fulltext/pdfs/Hemelings (2020).pdf,Baseline ResNet-50 CNN (full 4935 training images),252,2,7,93,254,100,patient,fundus,structural+functional,Europe,internal,retrospective,no,referable,unspecified,n/r,0.718,"ResNet-50 CNN with ImageNet transfer learning, full training set",claude_pdf
34,Hung (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Hung (2022).pdf,04_fulltext/pdfs/Hung (2022).pdf,"EfficientNet-b0 (eye-based, no demographics)",19,3,3,45,22,48,eye,fundus,structural+functional,Asia,internal,cross-sectional,yes,confirmed,mixed,n/r,0.311,EfficientNet-b0 CNN,claude_pdf
35,Islam (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Islam (2022).pdf,04_fulltext/pdfs/Islam (2022).pdf,"LR (4 features: MD, PSD, RNFL, CDR)",25,0,2,28,25,30,patient,OCT,expert ophthalmologist,Oceania,internal,retrospective,no,confirmed,POAG,55.3,0.5,Logistic regression,claude_pdf
35,Islam (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Islam (2022).pdf,04_fulltext/pdfs/Islam (2022).pdf,"DL (4 features: MD, PSD, RNFL, CDR)",25,0,2,28,25,30,patient,OCT,expert ophthalmologist,Oceania,internal,retrospective,no,confirmed,POAG,55.3,0.5,"4-layer fully-connected DNN (ReLU, sigmoid)",claude_pdf
35,Islam (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Islam (2022).pdf,04_fulltext/pdfs/Islam (2022).pdf,ResNet18 (segmented ONH OCT B-scans),180,0,8,172,180,180,patient,OCT,expert ophthalmologist,Oceania,internal,retrospective,no,confirmed,POAG,55.3,0.5,ResNet18 (transfer learning),claude_pdf
35,Islam (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Islam (2022).pdf,04_fulltext/pdfs/Islam (2022).pdf,VGG16 (segmented ONH OCT B-scans),180,0,8,172,180,180,patient,OCT,expert ophthalmologist,Oceania,internal,retrospective,no,confirmed,POAG,55.3,0.5,VGG16 (transfer learning),claude_pdf
35,Islam (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Islam (2022).pdf,04_fulltext/pdfs/Islam (2022).pdf,Proposed CNN (segmented ONH OCT B-scans),179,1,4,176,180,180,patient,OCT,expert ophthalmologist,Oceania,internal,retrospective,no,confirmed,POAG,55.3,0.5,"Custom 24-layer CNN (5 conv blocks, softmax)",claude_pdf
36,Jammal (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Jammal (2019).pdf,04_fulltext/pdfs/Jammal (2019).pdf,Pegasus,42,8,6,44,50,50,image,fundus,structural+functional,Asia,external,retrospective,yes,confirmed,mixed,58,0.5,ResNet-50 CNN,claude_pdf
36,Jammal (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Jammal (2019).pdf,04_fulltext/pdfs/Jammal (2019).pdf,Best-case consensus (5 ophthalmologists),45,5,12,38,50,50,image,fundus,structural+functional,Asia,external,retrospective,yes,confirmed,mixed,58,0.5,,claude_pdf
37,Jan (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Jan (2024).pdf,04_fulltext/pdfs/Jan (2024).pdf,Inception-v3 AI (Li et al.),1078,2156,176,6490,3234,6666,image,fundus,expert ophthalmologist,Europe,external,retrospective,no,referable,unspecified,n/r,0.327,"Convolutional neural network, Inception-v3",claude_pdf
37,Jan (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Jan (2024).pdf,04_fulltext/pdfs/Jan (2024).pdf,"Optometrists (n=11, AHPRA-registered)",2104,1130,966,5700,3234,6666,image,fundus,expert ophthalmologist,Europe,external,retrospective,no,referable,unspecified,n/r,0.327,,claude_pdf
38,Jan (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Jan (2025).pdf,04_fulltext/pdfs/Jan (2025).pdf,Inception-v3 AI Workstation,10,5,10,243,15,253,patient,fundus,combined criteria,Oceania,external,prospective,yes,referable,unspecified,64.8,0.054,Inception-v3,claude_pdf
39,Kang (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Kang (2026).pdf,04_fulltext/pdfs/Kang (2026).pdf,ViT-B/16,65,8,5,70,73,75,image,fundus,structural+functional,Europe,internal,retrospective,no,confirmed,unspecified,n/r,0.493,Vision Transformer ViT-B/16,claude_pdf
39,Kang (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Kang (2026).pdf,04_fulltext/pdfs/Kang (2026).pdf,SPiT,67,6,12,63,73,75,image,fundus,structural+functional,Europe,internal,retrospective,no,confirmed,unspecified,n/r,0.493,Modular Superpixel Tokenization ViT (SPiT),claude_pdf
39,Kang (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Kang (2026).pdf,04_fulltext/pdfs/Kang (2026).pdf,SpxViT_fix,65,8,15,60,73,75,image,fundus,structural+functional,Europe,internal,retrospective,no,confirmed,unspecified,n/r,0.493,Superpixel-based Vision Transformer (SLIC fixed compactness=8),claude_pdf
39,Kang (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Kang (2026).pdf,04_fulltext/pdfs/Kang (2026).pdf,SpxViT_var,68,5,11,64,73,75,image,fundus,structural+functional,Europe,internal,retrospective,no,confirmed,unspecified,n/r,0.493,Superpixel-based Vision Transformer (SLIC variable compactness),claude_pdf
40,Kim (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Kim (2019).pdf,04_fulltext/pdfs/Kim (2019).pdf,Inception-V3 (DL),49,1,5,47,50,52,image,OCT,structural+functional,Asia,internal,prospective,no,confirmed,unspecified,52.16,0.49,"Inception-V3 CNN (transfer learning, ImageNet pre-trained)",claude_pdf
40,Kim (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Kim (2019).pdf,04_fulltext/pdfs/Kim (2019).pdf,HCF pRNFL average thickness,29,21,5,47,50,52,image,OCT,structural+functional,Asia,internal,prospective,no,confirmed,unspecified,52.16,0.49,Hand-crafted feature (ASAP software) with statistical classifier,claude_pdf
40,Kim (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Kim (2019).pdf,04_fulltext/pdfs/Kim (2019).pdf,HCF pRNFL inferior sector,36,14,5,47,50,52,image,OCT,structural+functional,Asia,internal,prospective,no,confirmed,unspecified,52.16,0.49,Hand-crafted feature (ASAP software) with statistical classifier,claude_pdf
40,Kim (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Kim (2019).pdf,04_fulltext/pdfs/Kim (2019).pdf,HCF pRNFL superior sector,31,19,5,47,50,52,image,OCT,structural+functional,Asia,internal,prospective,no,confirmed,unspecified,52.16,0.49,Hand-crafted feature (ASAP software) with statistical classifier,claude_pdf
40,Kim (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Kim (2019).pdf,04_fulltext/pdfs/Kim (2019).pdf,HCF pRNFL nasal sector,12,38,5,47,50,52,image,OCT,structural+functional,Asia,internal,prospective,no,confirmed,unspecified,52.16,0.49,Hand-crafted feature (ASAP software) with statistical classifier,claude_pdf
40,Kim (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Kim (2019).pdf,04_fulltext/pdfs/Kim (2019).pdf,HCF pRNFL temporal sector,4,46,5,47,50,52,image,OCT,structural+functional,Asia,internal,prospective,no,confirmed,unspecified,52.16,0.49,Hand-crafted feature (ASAP software) with statistical classifier,claude_pdf
41,Kim (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Kim (2020).pdf,04_fulltext/pdfs/Kim (2020).pdf,VGG-19 (RNFL thickness map),314,7,10,94,321,104,eye,OCT,expert ophthalmologist,Asia,external,retrospective,no,confirmed,POAG,58.0,0.755,VGG-19 CNN,claude_pdf
41,Kim (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Kim (2020).pdf,04_fulltext/pdfs/Kim (2020).pdf,Glaucoma specialist 1,311,10,12,92,321,104,eye,OCT,expert ophthalmologist,Asia,external,retrospective,no,confirmed,POAG,58.0,0.755,,claude_pdf
41,Kim (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Kim (2020).pdf,04_fulltext/pdfs/Kim (2020).pdf,Glaucoma specialist 2,313,8,7,97,321,104,eye,OCT,expert ophthalmologist,Asia,external,retrospective,no,confirmed,POAG,58.0,0.755,,claude_pdf
42,Ko (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Ko (2022).pdf,04_fulltext/pdfs/Ko (2022).pdf,TVGH core EfficientNet B3 (internal test),75,5,2,78,80,80,image,fundus,structural+functional,mixed,external,retrospective,no,confirmed,POAG,58.0,0.499,EfficientNet B3 CNN,claude_pdf
42,Ko (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Ko (2022).pdf,04_fulltext/pdfs/Ko (2022).pdf,TVGH core model on DRISHTI-GS1 (external),2,18,0,20,20,20,image,fundus,structural+functional,mixed,external,retrospective,no,confirmed,POAG,58.0,0.499,EfficientNet B3 CNN,claude_pdf
42,Ko (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Ko (2022).pdf,04_fulltext/pdfs/Ko (2022).pdf,TVGH core model on RIM-ONE r2 (external),3,17,2,18,20,20,image,fundus,structural+functional,mixed,external,retrospective,no,confirmed,POAG,58.0,0.499,EfficientNet B3 CNN,claude_pdf
42,Ko (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Ko (2022).pdf,04_fulltext/pdfs/Ko (2022).pdf,TVGH core model on CHGH (external),13,7,1,19,20,20,image,fundus,structural+functional,mixed,external,retrospective,no,confirmed,POAG,58.0,0.499,EfficientNet B3 CNN,claude_pdf
43,Kumar (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Kumar (2025).pdf,04_fulltext/pdfs/Kumar (2025).pdf,vgg19_bn (internal validation),1316,65,47,1983,1381,2030,image,fundus,other,mixed,external,retrospective,no,screening,unspecified,n/r,0.4098,"VGG19 with batch normalisation (ImageNet pre-trained, fine-tuned via Fastai)",claude_pdf
44,Lau (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Lau (2025).pdf,04_fulltext/pdfs/Lau (2025).pdf,ResNet-50 DLM,224,9,2,394,233,396,eye,OCT,combined criteria,North America,external,retrospective,yes,confirmed,unspecified,53.8,0.37,"ResNet-50 (ImageNet-pretrained, fine-tuned on OCT Hood reports)",claude_pdf
45,Lee (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Lee (2023).pdf,04_fulltext/pdfs/Lee (2023).pdf,Spectralis RNFLT ST/IT <5th percentile,342,40,12,82,382,94,eye,OCT,structural+functional,North America,internal,cross-sectional,yes,confirmed,POAG,n/r,0.803,Reference-database percentile classifier (Spectralis GMPE),claude_pdf
45,Lee (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Lee (2023).pdf,04_fulltext/pdfs/Lee (2023).pdf,Spectralis BMO-MRW ST/IT <5th percentile,317,65,5,89,382,94,eye,OCT,structural+functional,North America,internal,cross-sectional,yes,confirmed,POAG,n/r,0.803,Reference-database percentile classifier (Spectralis GMPE),claude_pdf
45,Lee (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Lee (2023).pdf,04_fulltext/pdfs/Lee (2023).pdf,Combined RNFLT or BMO-MRW ST/IT <5th percentile,354,28,14,80,382,94,eye,OCT,structural+functional,North America,internal,cross-sectional,yes,confirmed,POAG,n/r,0.803,"Reference-database percentile classifier (Spectralis GMPE), OR rule across RNFLT and BMO-MRW",claude_pdf
46,Lee (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Lee (2025).pdf,04_fulltext/pdfs/Lee (2025).pdf,Multidimensional imaging model (fundus+RNFL/GCIPL deviation+thickness),471,38,60,485,509,545,eye,combined,structural+functional,Asia,internal,retrospective,no,confirmed,POAG,n/r,0.483,"CNN ensemble (Swin-base, Inception-ResNet-V2, Inception-V3, Xception) with back-end mean fusion",claude_pdf
47,Li (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Li (2019).pdf,04_fulltext/pdfs/Li (2019).pdf,Pegasus v1.0,39,9,6,40,48,46,eye,fundus,structural+functional,Europe,external,retrospective,yes,confirmed,unspecified,n/r,0.51,ResNet-50 CNN,claude_pdf
47,Li (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Li (2019).pdf,04_fulltext/pdfs/Li (2019).pdf,Ophthalmologists (mean of 243),36,12,6,40,48,46,eye,fundus,structural+functional,Europe,external,retrospective,yes,confirmed,unspecified,n/r,0.51,,claude_pdf
47,Li (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Li (2019).pdf,04_fulltext/pdfs/Li (2019).pdf,Optometrists (median of 208),44,4,12,34,48,46,eye,fundus,structural+functional,Europe,external,retrospective,yes,confirmed,unspecified,n/r,0.51,,claude_pdf
48,Li (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Li (2021).pdf,04_fulltext/pdfs/Li (2021).pdf,InceptionResNetV2 (ZOC external set),230,5,60,993,235,1053,image,fundus,expert ophthalmologist,Asia,external,retrospective,yes,referable,unspecified,n/r,0.192,InceptionResNetV2,claude_pdf
48,Li (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Li (2021).pdf,04_fulltext/pdfs/Li (2021).pdf,Ophthalmologist (6 years experience),227,8,72,981,235,1053,image,fundus,expert ophthalmologist,Asia,external,retrospective,yes,referable,unspecified,n/r,0.192,,claude_pdf
48,Li (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Li (2021).pdf,04_fulltext/pdfs/Li (2021).pdf,Ophthalmologist (3 years experience),190,45,124,929,235,1053,image,fundus,expert ophthalmologist,Asia,external,retrospective,yes,referable,unspecified,n/r,0.192,,claude_pdf
48,Li (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Li (2021).pdf,04_fulltext/pdfs/Li (2021).pdf,InceptionResNetV2 (CMAAI internal test set),115,3,11,654,118,665,image,fundus,expert ophthalmologist,Asia,external,retrospective,yes,referable,unspecified,n/r,0.192,InceptionResNetV2,claude_pdf
48,Li (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Li (2021).pdf,04_fulltext/pdfs/Li (2021).pdf,InceptionResNetV2 (XOH external set),267,5,79,2309,272,2388,image,fundus,expert ophthalmologist,Asia,external,retrospective,yes,referable,unspecified,n/r,0.192,InceptionResNetV2,claude_pdf
48,Li (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Li (2021).pdf,04_fulltext/pdfs/Li (2021).pdf,InceptionResNetV2 (TOPP external set),2867,61,271,9769,2928,10040,image,fundus,expert ophthalmologist,Asia,external,retrospective,yes,referable,unspecified,n/r,0.192,InceptionResNetV2,claude_pdf
49,Li (2022b),2022b,projects/glaucoma-dl-dta-nma/pdfs/Li (2022b).pdf,04_fulltext/pdfs/Li (2022b).pdf,AI screening algorithm (DenseNet-121 + bilinear pooling),328,40,9,1208,368,1217,patient,fundus,expert ophthalmologist,Asia,external,prospective,yes,referable,unspecified,53.19,0.232,DenseNet-121 with bilinear pooling,claude_pdf
49,Li (2022b),2022b,projects/glaucoma-dl-dta-nma/pdfs/Li (2022b).pdf,04_fulltext/pdfs/Li (2022b).pdf,Ophthalmologist Grader 1 (6 years experience),359,9,9,1208,368,1217,patient,fundus,expert ophthalmologist,Asia,external,prospective,yes,referable,unspecified,53.19,0.232,,claude_pdf
49,Li (2022b),2022b,projects/glaucoma-dl-dta-nma/pdfs/Li (2022b).pdf,04_fulltext/pdfs/Li (2022b).pdf,Ophthalmologist Grader 2 (10 years experience),364,4,10,1207,368,1217,patient,fundus,expert ophthalmologist,Asia,external,prospective,yes,referable,unspecified,53.19,0.232,,claude_pdf
50,Li (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Li (2023).pdf,04_fulltext/pdfs/Li (2023).pdf,G-RISK on BMES (participant),94,8,266,3186,102,3452,image,fundus,combined criteria,mixed,external,retrospective,no,mixed,mixed,n/r,n/r,ResNet-50 regression CNN (G-RISK),claude_pdf
50,Li (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Li (2023).pdf,04_fulltext/pdfs/Li (2023).pdf,G-RISK on GHS (participant),117,8,707,10696,125,11403,image,fundus,combined criteria,mixed,external,retrospective,no,mixed,mixed,n/r,n/r,ResNet-50 regression CNN (G-RISK),claude_pdf
50,Li (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Li (2023).pdf,04_fulltext/pdfs/Li (2023).pdf,G-RISK on AIROGS,2797,314,9691,87220,3111,96911,image,fundus,combined criteria,mixed,external,retrospective,no,mixed,mixed,n/r,n/r,ResNet-50 regression CNN (G-RISK),claude_pdf
50,Li (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Li (2023).pdf,04_fulltext/pdfs/Li (2023).pdf,G-RISK on ORIGA,130,38,107,375,168,482,image,fundus,combined criteria,mixed,external,retrospective,no,mixed,mixed,n/r,n/r,ResNet-50 regression CNN (G-RISK),claude_pdf
