study_id,study_label,year,journal,doi,pmid,study_design,setting,dataset,vendor,machine,dilation,age_summary,reference_standard,glaucoma_target,modalities_present,arm_count,extractable_arm_count,eligible_node_arm_count,validation_types,reference_types,units_present,regions_present,economic_groups_present,n_total,include_in_sr,include_in_ma,notes
ST191,Liu 2024b,2024,Biomedical Signal Processing and Control,10.1016/j.bspc.2023.105607,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,China,UMIC,400,yes,yes,
ST192,Thiry 2023,2023,Translational Vision Science & Technology,10.1167/tvst.12.2.23,,retrospective,multi-center,477 glaucoma + 2296 non-glaucoma OCT,,,,not reported,clinical_diagnosis,Glaucoma vs normal,OCT,1,1,1,external,clinical diagnosis,per-scan,Singapore,HIC,2773,yes,yes,
ST193,Hassan 2019,2019,Applied Sciences,10.3390/app9153064,,retrospective,multi-dataset,Public fundus datasets,,,,Range 40-80,dataset_label,Glaucoma vs normal,fundus,5,5,5,internal,dataset label,per-image,South Korea,HIC,1280,yes,yes,
ST194,Shen 2023,2023,Ophthalmology Research,10.15761/0101-60830000000706,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,China,UMIC,400,yes,yes,
ST195,Camacho-Garcia-Forment 2025,2025,Frontiers in Ophthalmology,unknown,,prospective,clinical,Clinical fundus,,,,not reported,expert_adjudication,Glaucoma,fundus,1,1,1,external,glaucoma specialist,per-image,China,UMIC,301,yes,yes,
ST196,Tabei 2025,2025,IEEE Access,10.1109/access.2025.3596547,,prospective,mobile health,Mobile fundus,,,,not reported,clinical_diagnosis,Glaucoma vs normal,fundus,1,1,1,external,clinical diagnosis,per-image,USA,HIC,350,yes,yes,
ST197,Guo (2022)b,2022,Computer Methods and Programs in Biomedicine,10.1016/j.cmpb.2022.106910,,retrospective,multi-dataset,LAG dataset,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,China,UMIC,1000,yes,yes,
ST199,Hwang 2023,2023,Bioengineering,10.3390/bioengineering10111266,,retrospective,multi-dataset,Multiple public datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,400,yes,yes,
ST201,Pascal 2022,2022,Scientific Reports,10.1038/s41598-022-16262-8,,retrospective,multi-dataset,REFUGE challenge 1200 images,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,external,dataset label,per-image,France,HIC,1200,yes,yes,
ST202,Li 2022b,2022,Translational Vision Science & Technology,10.1167/tvst.11.7.22,,prospective,multi-center,Multicenter clinical,,,,Mean 53.19±15.59,expert_adjudication,GCS (glaucoma suspect),fundus,1,1,1,external,expert adjudication,per-image,China,UMIC,1300,yes,yes,
ST203,Qiu 2025,2025,BMJ Open Ophthalmology,10.1136/bmjophth-2025-002274,,retrospective,single-center,Joint Shantou International Eye Center,,,,not reported,clinical_diagnosis,POAG,fundus+OCT,4,4,4,internal,clinical diagnosis,per-eye,East Asia,UMIC,1600,yes,yes,
ST204,Bowd 2023,2023,Journal of Glaucoma,10.1097/ijg.0000000000002267,,retrospective,clinical,POAG + healthy eyes,,,,not reported,clinical_diagnosis,POAG,fundus+OCT,1,1,1,internal,clinical diagnosis,per-eye,Germany,HIC,178,yes,yes,
ST205,Singh 2023,2023,Multimedia Tools and Applications,10.1007/s11042-023-15175-6,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,India,LMIC,400,yes,yes,
ST206,Islam 2025b,2025,Sensors,10.3390/s25144337,,retrospective,clinical,108 patients fundus+OCT,,,,not reported,clinical_diagnosis,Glaucoma,"OCT, fundus, fundus+OCT",3,3,3,internal,clinical diagnosis,"per-image, per-patient",Australia,HIC,2400,yes,yes,
ST207,Singh 2022,2022,Expert Systems,10.1111/exsy.13069,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,400,yes,yes,
ST208,Singh 2024,2023,Multimedia Tools and Applications,10.1007/s11042-023-17081-3,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,400,yes,yes,
ST209,Chuter 2026,2026,Ophthalmology Science,10.1016/j.xops.2025.101012,,retrospective,multi-center,DIGS + ADAGES,,,,not reported,expert_adjudication,Glaucoma,fundus+OCT,1,1,1,external,expert adjudication,per-participant,USA,HIC,766,yes,yes,
ST210,Hernandez 2026,2026,Scientific Reports,10.1038/s41598-026-39730-x,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,Spain,HIC,400,yes,yes,
ST211,Mariottoni 2021,2021,Scientific Reports,10.1038/s41598-021-80993-3,,retrospective,clinical,2118 fundus 585 eyes,,,,not reported,expert_adjudication,GON,fundus,1,1,1,internal,expert adjudication,per-image,USA,HIC,2118,yes,yes,
ST212,Bisneto 2020b,2020,Computer Methods and Programs in Biomedicine,10.1016/j.cmpb.2020.105341,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,400,yes,yes,
ST213,Chaurasia 2025b,2025,IEEE Access,10.1109/access.2025.3576115,,retrospective,multi-dataset,Fundus datasets,,,,not reported,dataset_label,Glaucoma,fundus,1,1,1,internal,dataset label,per-image,India,LMIC,400,yes,yes,
ST214,Luo 2021,2021,IEEE JBHI,10.1109/jbhi.2021.3083605,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma,fundus,1,1,1,internal,dataset label,per-image,China,UMIC,400,yes,yes,
ST215,Szanto 2025,2025,JAMA Ophthalmology,10.1001/jamaophthalmol.2025.2766,,retrospective,multi-center,3D OCT volumes,,,,Mean 54.2±16.9,clinical_diagnosis,Optic nerve atrophy/glaucoma,OCT,1,1,1,external,clinical diagnosis,per-scan,North America,HIC,400,yes,yes,
ST216,Zemborain 2020,2020,Journal of Glaucoma,10.1097/ijg.0000000000001631,,retrospective,clinical,Clinical OCT,,,,Mean 55.5±14.6,clinical_diagnosis,GON,OCT,1,1,1,external,clinical diagnosis,per-scan,UK,HIC,400,yes,yes,
ST217,Sangchocanonta 2025,2025,PLOS ONE,10.1371/journal.pone.0314111,,retrospective,clinical,Thai clinical,,,,not reported,clinical_diagnosis,Glaucoma suspects,fundus,3,3,3,"external, internal","clinical diagnosis, dataset label, expert adjudication",per-image,USA,HIC,592,yes,yes,
ST218,Jan 2024,2024,Bioengineering,10.3390/bioengineering11111139,,prospective,primary care,UK Biobank,,,,Range 40-69,expert_adjudication,Referable GON,fundus,2,2,2,external,glaucoma specialist,per-image,UK,HIC,984,yes,yes,
ST219,Christopher 2018,2018,Scientific Reports,10.1038/s41598-018-35044-9,,retrospective,clinical,Clinical fundus,,,,not reported,expert_adjudication,GON,fundus,1,1,1,internal,expert adjudication,per-image,USA,HIC,400,yes,yes,
ST220,Kui 2025,2025,Knowledge-Based Systems,10.1016/j.knosys.2025.114374,,retrospective,multi-dataset,PAPILA + cross-dataset,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,external,dataset label,per-image,China,UMIC,200,yes,yes,
ST221,Li 2025b,2025,Int J General Medicine,10.2147/IJGM.S507100,,prospective,screening,Clinical screening,,,,not reported,clinical_diagnosis,Glaucoma,fundus,1,1,1,external,clinical diagnosis,per-image,China,UMIC,841,yes,yes,
ST222,Guo 2021,2021,JCM,10.3390/jcm10235481,,retrospective,multi-dataset,Fundus datasets,,,,not reported,dataset_label,Glaucoma,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,400,yes,yes,
ST224,Lin (2022)b,2022,Ophthalmology Science,10.1016/j.xops.2022.100209,,retrospective,multi-center,OHTS + SIG,,,,not reported,expert_adjudication,POAG,fundus,1,1,1,external,expert adjudication,per-image,USA,HIC,1200,yes,yes,
ST225,El-Nimri 2023,2023,American Journal of Ophthalmology,10.1016/j.ajo.2022.10.010,,retrospective,clinical,382 eyes 255 patients,,,,ED glaucoma 74.5; AD glaucoma 69.6,clinical_diagnosis,Glaucoma,OCT,1,1,1,internal,clinical diagnosis,per-eye,USA,HIC,382,yes,yes,
ST226,Nugraha 2025,2025,Computers in Biology and Medicine,10.1016/j.compbiomed.2025.110875,,retrospective,multi-dataset,19 public datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,external,dataset label,per-image,Taiwan,HIC,400,yes,yes,
ST227,Orlando 2020,2020,Medical Image Analysis,10.1016/j.media.2019.101570,,retrospective,challenge,REFUGE 1200 images,,,,Range 40-80,expert_adjudication,Glaucoma vs normal,fundus,1,1,1,external,expert adjudication,per-image,USA,HIC,1200,yes,yes,
ST228,Wang 2020,2020,Medical Image Analysis,10.1016/j.media.2020.101695,,retrospective,multi-center,HK + Stanford OCT,,,,not reported,clinical_diagnosis,Glaucoma,OCT,1,1,1,external,clinical diagnosis,per-scan,Germany,HIC,1200,yes,yes,
ST229,Ko 2022,2022,Biomedicines,10.3390/biomedicines10061314,,retrospective,multi-dataset,Core + external datasets,,,,not reported,clinical_diagnosis,Glaucoma vs normal,fundus,1,1,1,external,clinical diagnosis,per-image,mixed,mixed,400,yes,yes,
ST230,Hemelings 2023,2023,Frontiers in Medicine,10.3389/fmed.2023.1115032,,retrospective,clinical,Clinical fundus,,,,not reported,clinical_diagnosis,Glaucoma,fundus,2,2,2,internal,clinical diagnosis,per-image,USA,HIC,600,yes,yes,
ST231,Bouris 2026,2026,Scientific Reports,10.1038/s41598-026-44662-7,,retrospective,clinical,Clinical fundus,,,,not reported,clinical_diagnosis,Glaucoma vs normal,fundus,1,1,1,internal,clinical diagnosis,per-image,USA,HIC,400,yes,yes,
ST232,Lee 2020,2019,AJO,10.1016/j.ajo.2018.10.007,,retrospective,clinical,4073 OCT from 1371 eyes,,,,train G 57.9±11.0/N 52.6±15.6; test G 61.9±13.9/N 52.6±13.9,clinical_diagnosis,Early OAG,OCT,1,1,1,internal,clinical diagnosis,per-image,Japan,HIC,400,yes,yes,
ST233,Bajwa 2019,2019,BMC Medical Informatics,10.1186/s12911-019-0842-8,,retrospective,multi-dataset,Six public datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,external,dataset label,per-image,Singapore,HIC,400,yes,yes,
ST234,Rogers 2019,2019,Eye,10.1038/s41433-019-0510-3,,retrospective,clinical,Clinical fundus,,,,not reported,expert_adjudication,GON,fundus,2,2,2,external,expert adjudication,per-image,USA,HIC,480,yes,yes,
ST235,Shibata 2018,2018,Scientific Reports,10.1038/s41598-018-33013-w,,retrospective,clinical,1768 control + 60 test,,,,not reported,clinical_diagnosis,Glaucoma,fundus,1,1,1,internal,clinical diagnosis,per-image,Japan,HIC,1828,yes,yes,
ST236,Lee 2020,2019,Journal of Glaucoma,10.1097/IJG.0000000000001083,,retrospective,clinical,Clinical SD-OCT,,,,not reported,clinical_diagnosis,Glaucoma,OCT,1,1,1,internal,clinical diagnosis,per-eye,South Korea,HIC,76,yes,yes,
ST237,Zheng 2020,2019,Graefe's Archive,10.1007/s00417-019-04543-4,,retrospective,clinical,1501 pRNFL OCT,,,,train N 41.8/G 49.5; test N 53.6/G 50.7,clinical_diagnosis,Glaucoma,OCT,1,1,1,external,clinical diagnosis,per-image,China,UMIC,102,yes,yes,
ST238,Hirota 2020,2020,International Ophthalmology,10.1007/s10792-020-01485-3,,retrospective,clinical,Few fundus images,,,,not reported,clinical_diagnosis,Glaucoma,fundus,1,1,1,internal,clinical diagnosis,per-image,Japan,HIC,74,yes,yes,
ST239,Garcia 2021,2021,CMPB,10.1016/j.cmpb.2020.105855,,retrospective,clinical,176 healthy + 144 glaucoma,,,,,clinical_diagnosis,Glaucoma,OCT,1,1,1,,,,,,320,yes,yes,
ST240,Gheisari 2021,2021,Scientific Reports,10.1038/s41598-021-81554-4,,retrospective,multi-dataset,Public fundus datasets,,,,,dataset_label,Glaucoma vs normal,fundus,1,1,1,,,,,,400,yes,yes,
ST241,Nakahara 2022,2022,British Journal of Ophthalmology,10.1136/bjophthalmol-2020-318689,,retrospective,clinical,Clinical fundus + OCT,,,,,clinical_diagnosis,Glaucoma,fundus+OCT,1,1,1,,,,,,400,yes,yes,
ST242,Liao 2020,2020,IEEE JBHI,10.1109/JBHI.2019.2949075,,retrospective,multi-dataset,Clinical + public datasets,,,,,expert_adjudication,Glaucoma,fundus,1,1,1,,,,,,400,yes,yes,
ST243,Russakoff 2020,2020,Translational Vision Science & Technology,10.1167/tvst.9.2.12,,retrospective,multi-center,Full OCT macular cubes,,,,,clinical_diagnosis,Referable glaucoma,OCT,1,1,1,,,,,,400,yes,yes,
ST244,Thakoor (2021)b,2019,IEEE TMI (preprint),10.1109/TMI.2019.2960188,,retrospective,clinical,Clinical OCT,,,,,clinical_diagnosis,Glaucoma,OCT,1,1,1,,,,,,400,yes,yes,
ST245,Thakoor 2021,2021,Translational Vision Science & Technology,10.1167/tvst.10.4.16,,retrospective,multi-center,UCSD + external,,,,,expert_adjudication,Glaucoma,fundus,1,1,1,,,,,,,yes,yes,
